name,ratings,reviews,companytype,locations,Highly_Rated_For,Critically_Rated_For
TÜV NORD,3.7,1.1k,"Testing, Inspection and Certification (TIC)",Pune +85 other locations,Promotions / Appraisal,
Klm Axiva Finvest,4.4,1.1k,NBFC,Bengaluru +158 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
TKIL,4.1,1.1k,Industrial Machinery,Pune +62 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Pernod Ricard,3.5,1k,Beverage,Gurugram +119 other locations,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Job Security"
Tata Capital Housing Finance,3.9,1k,NBFC,Mumbai +169 other locations,"Skill Development / Learning, Job Security, Salary & Benefits",Promotions / Appraisal
Bajaj Capital Insurance Broking Limited,4.4,1k,Insurance,New Delhi +139 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",
Zf Rane Automotive,3.9,1k,Auto Components,Chennai +50 other locations,"Skill Development / Learning, Job Security",Promotions / Appraisal
Dana Anand,4.0,1k,Auto Components,Pune +49 other locations,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal
Spencer's Retail,3.8,1k,Retail,Kolkata +63 other locations,Promotions / Appraisal,
Bharat Sanchar Nigam,3.9,1k,Telecom,Bengaluru +241 other locations,"Work Life Balance, Job Security, Work Satisfaction","Promotions / Appraisal, Salary & Benefits"
Aspire Systems,3.8,1k,IT Services & Consulting,Chennai +23 other locations,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
GlobalData,3.3,1k,Analytics & KPO,Hyderabad +22 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Thermo Fisher Scientific,3.7,1k,Biotechnology,Bengaluru +35 other locations,Work Life Balance,Promotions / Appraisal
Hindustan Zinc,3.8,1k,Metals & Mining,Udaipur +36 other locations,Salary & Benefits,"Company Culture, Work Life Balance, Promotions / Appraisal"
Greenko Group,3.9,1k,Power,Hyderabad +82 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
Kinara Capital,4.2,1k,NBFC,Bengaluru +114 other locations,"Company Culture, Work Life Balance, Salary & Benefits",
Nippon Life India Asset Management,4.6,1k,Financial Services,Mumbai +189 other locations,"Company Culture, Work Life Balance, Job Security",
Gharda Chemicals Limited,4.0,1k,Agro Chemicals,Mumbai +73 other locations,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Wheels,3.9,1k,Auto Components,Chennai +47 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Netcracker Technology,3.0,1k,IT Services & Consulting,Hyderabad +12 other locations,"Promotions / Appraisal, Job Security, Company Culture",
ValueMomentum,3.2,1k,IT Services & Consulting,Hyderabad +11 other locations,"Promotions / Appraisal, Company Culture, Work Satisfaction",
Ceasefire Industries,3.1,1k,Industrial Machinery,New Delhi +76 other locations,"Promotions / Appraisal, Work Satisfaction, Job Security",
Allianz Technology,4.0,1k,IT Services & Consulting,Pune +14 other locations,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits"
Lakshmi Machine Works,3.8,1k,Industrial Machinery,Coimbatore +32 other locations,Job Security,Promotions / Appraisal
BirlaNu,3.9,1k,Building Material,Hyderabad +110 other locations,Salary & Benefits,Promotions / Appraisal
Fractal Analytics,4.0,1k,Analytics & KPO,Bengaluru +18 other locations,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
Amara Raja Group,4.1,1k,Auto Components,Tirupati +79 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
SYSKA LED Lights,2.9,1k,Consumer Electronics & Appliances,Pune +155 other locations,"Promotions / Appraisal, Company Culture, Job Security",
Crompton Greaves Consumer Electricals,3.7,1k,Consumer Electronics & Appliances,Mumbai +106 other locations,"Promotions / Appraisal, Company Culture, Work Satisfaction",
Sahara India Pariwar,3.8,1k,Broadcasting,Lucknow +247 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Uber,4.1,1k,Internet,Hyderabad +52 other locations,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
Hitachi Energy,4.1,1k,Power,Chennai +37 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
iQor Global Services,3.3,1k,BPO,Noida +49 other locations,"Promotions / Appraisal, Job Security, Work Satisfaction",
SLMG Beverages,3.9,1k,Beverage,Lucknow +92 other locations,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Otis Elevator,4.1,1k,Industrial Machinery,Bengaluru +71 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Hinduja Housing Finance,3.7,1k,NBFC,New Delhi +210 other locations,"Promotions / Appraisal, Company Culture",
Otis Elevator,4.1,1k,Industrial Machinery,Bengaluru +71 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Vertiv,3.9,1k,Electronics Manufacturing,Pune +55 other locations,Job Security,Promotions / Appraisal
Vistaar Finance,3.9,1k,NBFC,Bengaluru +202 other locations,"Salary & Benefits, Work Life Balance",
Incheon Motors,4.7,1k,Automobile,Kochi +15 other locations,"Company Culture, Job Security, Skill Development / Learning",
Malabar Gold and Diamonds,4.0,1k,Jewellery,Hyderabad +132 other locations,"Job Security, Company Culture, Skill Development / Learning",
Temenos,3.2,1k,Software Product,Chennai +11 other locations,"Promotions / Appraisal, Job Security, Skill Development / Learning",
IIFL Home Finance,3.8,1.1k,NBFC,Gurugram +253 other locations,Work Life Balance,Promotions / Appraisal
Suzuki Motorcycle,4.0,1k,Automobile,Gurugram +119 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
GVPR Engineers,3.8,1k,Engineering & Construction,Hyderabad +94 other locations,Salary & Benefits,"Promotions / Appraisal, Job Security, Skill Development / Learning"
ALLEN Career Institute,3.8,1k,Education & Training,Kota +71 other locations,Work Life Balance,Promotions / Appraisal
Lemon Tree Hotels,4.0,1k,Hospitality,New Delhi +78 other locations,"Job Security, Company Culture, Work Life Balance",
NBC Bearings,3.9,1k,Auto Components,Jaipur +29 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
MakeMyTrip,3.4,1k,Internet,Gurugram +46 other locations,"Promotions / Appraisal, Company Culture, Work Satisfaction",
IB Group,3.7,1k,Food Processing,Rajnandgaon +152 other locations,"Promotions / Appraisal, Company Culture, Job Security",
SitusAMC,3.3,1k,Financial Services,Bengaluru +18 other locations,"Promotions / Appraisal, Company Culture, Skill Development / Learning",
Shyam Steel Group,3.5,1k,Iron & Steel,Kolkata +83 other locations,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
QX Global Group,3.1,1k,BPO,Ahmedabad +19 other locations,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
TradeIndia (Infocom Network Private Limited),3.3,1k,Internet,New Delhi +42 other locations,"Promotions / Appraisal, Work Satisfaction, Company Culture",
Visionet Systems,3.4,1k,IT Services & Consulting,Bengaluru +17 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Atlas Copco,4.1,1k,Industrial Machinery,Pune +59 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Hitachi Payment Services,3.6,1k,FinTech,Mumbai +87 other locations,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Perfetti Van Melle,4.2,1k,FMCG,Gurugram +161 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Innodata India Private Limited,3.5,1k,IT Services & Consulting,Noida +23 other locations,"Promotions / Appraisal, Job Security, Skill Development / Learning",
eClinicalWorks,3.6,999,Software Product,Mumbai +20 other locations,Job Security,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Bounteous x Accolite,3.2,996,IT Services & Consulting,Bengaluru +15 other locations,"Promotions / Appraisal, Work Satisfaction, Job Security",
Fortrea Development India Private Limited,3.9,996,Clinical Research,Bengaluru +11 other locations,"Work Life Balance, Company Culture","Promotions / Appraisal, Skill Development / Learning"
Secure Meters,3.9,996,Electronics Manufacturing,Udaipur +72 other locations,"Company Culture, Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Syrma SGS Technologies,4.0,995,Electronics Manufacturing,Chennai +23 other locations,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Westside,3.8,995,Retail,Mumbai +106 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
AstraZeneca,3.9,994,Pharma,Chennai +49 other locations,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal
ALTEN,3.6,992,IT Services & Consulting,Bengaluru +23 other locations,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Job Security"
Thomas Cook,4.0,992,Travel & Tourism,Mumbai +81 other locations,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Tata Cummins,4.4,994,Auto Components,Jamshedpur +44 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
CarDekho Group,3.6,991,Internet,Gurugram +82 other locations,"Promotions / Appraisal, Job Security, Work Satisfaction",
Comviva Technology,2.9,991,Software Product,Gurugram +19 other locations,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
United Breweries,3.3,991,Beverage,Bengaluru +105 other locations,"Promotions / Appraisal, Job Security, Company Culture",
Škoda Auto Volkswagen,3.9,990,Automobile,Pune +48 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
JW Marriott,4.2,987,Hospitality,Mumbai +42 other locations,"Job Security, Skill Development / Learning, Company Culture",
Pristyn Care,3.2,987,Internet,Gurugram +33 other locations,"Work Life Balance, Job Security, Company Culture",
Mastek,3.6,987,IT Services & Consulting,Mumbai +23 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
MasterCard,3.8,985,FinTech,Pune +14 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Amazon Web Services,3.8,985,IT Services & Consulting,Bengaluru +63 other locations,Salary & Benefits,"Job Security, Promotions / Appraisal, Work Satisfaction"
Cult.fit,3.6,985,Fitness & Wellness,Bengaluru +41 other locations,"Promotions / Appraisal, Job Security, Work Satisfaction",
Collins Aerospace,3.8,983,Defence & Aerospace,Bengaluru +11 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Work Satisfaction"
Star Cement,4.1,982,Building Material,Guwahati +80 other locations,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Colgate Palmolive,4.0,994,FMCG,Mumbai +120 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Mahindra Automotives,3.8,979,Automobile,Pune +129 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Everest Industries,3.8,978,Building Material,Mumbai +97 other locations,Work Life Balance,Promotions / Appraisal
Vaco Binary Semantics,3.1,977,IT Services & Consulting,Gurugram +48 other locations,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",
Arohan Financial Services,3.9,977,NBFC,Kolkata +233 other locations,Salary & Benefits,Promotions / Appraisal
Rebel Foods,3.7,977,Hospitality,Mumbai +80 other locations,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",
Xebia,3.1,976,IT Services & Consulting,Gurugram +23 other locations,"Job Security, Promotions / Appraisal, Work Satisfaction",
Aparajitha Corporate Services,3.8,976,Legal,Madurai +98 other locations,"Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
C&S Electric,4.0,974,Electrical Equipment,Noida +58 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
Siemens Energy,4.1,974,Power,Pune +50 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Pizza Hut,4.0,973,Hospitality,New Delhi +129 other locations,"Skill Development / Learning, Company Culture, Job Security",
Softenger,4.0,971,IT Services & Consulting,Pune +32 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Altisource,3.4,967,Real Estate,Bengaluru +9 other locations,"Promotions / Appraisal, Job Security, Skill Development / Learning",
Barclays Global Service Centre,3.9,967,IT Services & Consulting,Pune +13 other locations,"Company Culture, Work Life Balance","Promotions / Appraisal, Skill Development / Learning"
Unity Small Finance Bank,3.6,1k,Banking,Mumbai +145 other locations,"Promotions / Appraisal, Job Security, Company Culture",
Merino Industries,3.8,967,Building Material,New Delhi +82 other locations,Salary & Benefits,Promotions / Appraisal
VIP Industries,3.7,966,Retail,Mumbai +96 other locations,"Promotions / Appraisal, Company Culture, Job Security",
Natco Pharma,4.0,965,Pharma,Hyderabad +64 other locations,"Work Life Balance, Job Security, Salary & Benefits","Promotions / Appraisal, Skill Development / Learning"
Capacit'e Infraprojects,3.7,965,Engineering & Construction,Mumbai +35 other locations,"Promotions / Appraisal, Company Culture, Work Life Balance",
Lowe's,4.1,964,Retail,Bengaluru +9 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Quantiphi Analytics Solutions Private Limited,3.1,964,IT Services & Consulting,Bengaluru +18 other locations,"Job Security, Work Life Balance, Promotions / Appraisal",
Lumina Datamatics,3.2,963,IT Services & Consulting,Mumbai +20 other locations,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
TechnipFMC,3.9,963,Engineering & Construction,Hyderabad +43 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Kendriya Vidyalaya Sangathan,4.3,963,Education & Training,New Delhi +233 other locations,"Work Life Balance, Skill Development / Learning, Company Culture","Promotions / Appraisal, Job Security"
Tiger Analytics,3.7,964,IT Services & Consulting,Bengaluru +17 other locations,Salary & Benefits,Promotions / Appraisal
Napino Auto & Electronics,3.8,962,Auto Components,Gurugram +25 other locations,Promotions / Appraisal,
Wonder Cement,4.2,961,Building Material,Nimbahera +110 other locations,"Company Culture, Salary & Benefits, Work Life Balance",
JSW Group,3.8,962,Iron & Steel,Mumbai +96 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
J B Chemicals And Pharmaceuticals,3.9,960,Pharma,Mumbai +94 other locations,Promotions / Appraisal,
BDR Pharmaceuticals International,4.1,959,Pharma,Vadodara +30 other locations,"Company Culture, Job Security, Skill Development / Learning",
Pricol,3.9,958,Auto Components,Coimbatore +34 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
General Mills,4.1,959,Food Processing,Mumbai +54 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Yokohama Off-Highway Tires,3.6,958,Auto Components,Bharuch +38 other locations,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
LOREAL,3.8,957,Beauty & Personal Care,Mumbai +100 other locations,Salary & Benefits,Promotions / Appraisal
Gannon Dunkerley & Co.,3.4,956,Engineering & Construction,Kolkata +82 other locations,"Salary & Benefits, Promotions / Appraisal, Company Culture",
Nasser S. Al Hajri Corporation,3.6,956,Engineering & Construction,Chennai +55 other locations,Job Security,"Company Culture, Promotions / Appraisal, Salary & Benefits"
Hiranandani Financial Services,4.4,955,NBFC,Mumbai +134 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",
Jyothy Labs,4.1,955,FMCG,Mumbai +195 other locations,"Salary & Benefits, Company Culture, Work Life Balance",
Financial Software & Systems,3.6,954,Software Product,Chennai +33 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Technip Energies,4.1,954,Engineering & Construction,Noida +41 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Episource,3.9,952,IT Services & Consulting,Chennai +20 other locations,"Company Culture, Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
VeeTechnologies,3.9,951,IT Services & Consulting,Bengaluru +39 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
Guidehouse,3.6,948,Management Consulting,Chennai +19 other locations,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Mando Automotive,4.0,948,Auto Components,Chennai +21 other locations,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Petrofac,4.2,947,Oil & Gas,Chennai +42 other locations,"Salary & Benefits, Company Culture, Work Life Balance",Job Security
National Payments Corporation of India,4.0,947,FinTech,Mumbai +11 other locations,"Job Security, Skill Development / Learning, Company Culture",
Salcomp Manufacturing,4.0,947,Electronics Manufacturing,Chennai +27 other locations,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Defence Research & Development Organisation,4.5,946,Defence & Aerospace,Hyderabad +57 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
Jubilant Pharmova,3.7,945,Pharma,Noida +61 other locations,Promotions / Appraisal,
KEI Industries,4.3,943,Electrical Equipment,New Delhi +102 other locations,"Salary & Benefits, Job Security, Work Life Balance",
Shriram General Insurance,3.6,942,Insurance,Jaipur +199 other locations,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Marsh McLennan,3.9,942,Management Consulting,Mumbai +24 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Skipper,3.8,940,Industrial Machinery,Kolkata +92 other locations,Promotions / Appraisal,
Birla Opus,4.0,943,Chemicals,Mumbai +262 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Amphenol Interconnect,4.2,939,Electrical Equipment,Pune +19 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
Pramerica Life Insurance,3.7,939,Insurance,Gurugram +125 other locations,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Astral Adhesives,3.9,938,Chemicals,Ahmedabad +158 other locations,Salary & Benefits,Promotions / Appraisal
ICCS,3.0,937,BPO,Noida +31 other locations,"Promotions / Appraisal, Job Security, Company Culture",
Tikona Infinet,3.4,936,Telecom,Mumbai +46 other locations,"Promotions / Appraisal, Salary & Benefits, Job Security",
Velocis Systems,3.8,935,IT Services & Consulting,New Delhi +52 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
Hathway,3.3,935,Telecom,Mumbai +58 other locations,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",
Aristo Pharmaceuticals,4.0,934,Pharma,Mumbai +108 other locations,"Work Life Balance, Job Security, Work Satisfaction","Promotions / Appraisal, Salary & Benefits"
Adani Enterprises,3.6,933,Metals & Mining,Ahmedabad +77 other locations,"Promotions / Appraisal, Work Satisfaction, Company Culture",
Reliance Power,4.1,932,Power,Singrauli +42 other locations,"Job Security, Work Life Balance, Company Culture",
Psp Projects,3.9,933,Engineering & Construction,Ahmedabad +57 other locations,Skill Development / Learning,Promotions / Appraisal
FLSmidth,3.5,931,Industrial Machinery,Chennai +24 other locations,Work Life Balance,"Job Security, Promotions / Appraisal, Skill Development / Learning"
SFO Technologies,3.4,931,Electronics Manufacturing,Bengaluru +17 other locations,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Signify,3.4,930,Consumer Electronics & Appliances,Bengaluru +83 other locations,"Promotions / Appraisal, Work Satisfaction, Job Security",
Timken,3.9,930,Industrial Machinery,Jamshedpur +44 other locations,"Promotions / Appraisal, Salary & Benefits",
Naukri,4.2,930,Internet,Noida +72 other locations,"Job Security, Company Culture, Work Life Balance",
Aircel,4.4,929,Telecom,New Delhi +114 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Jaro Education,3.2,927,EdTech,Mumbai +24 other locations,Salary & Benefits,"Work Life Balance, Company Culture, Work Satisfaction"
Navayuga Engineering Company,3.9,926,Engineering & Construction,Hyderabad +73 other locations,Job Security,Promotions / Appraisal
Knight Frank,4.1,926,Real Estate,Mumbai +51 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
KMV Projects Limited,4.2,925,Engineering & Construction,Hyderabad +71 other locations,"Salary & Benefits, Company Culture, Job Security",
Bhanzu,3.8,925,EdTech,Bengaluru +14 other locations,Skill Development / Learning,
Xceedance,3.6,922,IT Services & Consulting,Gurugram +14 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Bayer,4.1,920,Pharma,Bengaluru +115 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
Test Yantra Software Solutions,3.1,919,IT Services & Consulting,Bengaluru +19 other locations,"Promotions / Appraisal, Company Culture, Job Security",
Godfrey Phillips India,4.0,919,FMCG,New Delhi +121 other locations,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
Apotex Research,3.8,918,Pharma,Bengaluru +14 other locations,Work Life Balance,"Promotions / Appraisal, Job Security"
Tafe Motors & Tractors,3.9,916,Industrial Machinery,Bhopal +73 other locations,Company Culture,"Promotions / Appraisal, Salary & Benefits"
Sundaram Clayton,3.9,915,Auto Components,Chennai +30 other locations,"Skill Development / Learning, Salary & Benefits","Job Security, Promotions / Appraisal"
GE Healthcare,3.9,913,Medical Equipment,Bengaluru +36 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Netscribes,2.7,912,Analytics & KPO,Kolkata +17 other locations,"Promotions / Appraisal, Job Security, Salary & Benefits",
Volvo,4.0,911,Automobile,Bengaluru +38 other locations,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
Deepak Fertilisers and Petrochemicals,4.1,911,Chemicals,Mumbai +58 other locations,"Job Security, Work Life Balance, Company Culture",
Sandhar Technologies,3.8,909,Auto Components,Gurugram +31 other locations,Promotions / Appraisal,
Nityo Infotech,3.3,908,IT Services & Consulting,Bengaluru +31 other locations,"Promotions / Appraisal, Job Security, Skill Development / Learning",
CIEL HR,3.9,907,Recruitment,Bengaluru +109 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
Experis IT,3.0,906,Recruitment,Bengaluru +34 other locations,"Promotions / Appraisal, Job Security, Skill Development / Learning",
Medha Servo Drives,4.2,905,Electrical Equipment,Hyderabad +54 other locations,"Job Security, Company Culture, Skill Development / Learning",
Nirma,4.2,906,FMCG,Bhavnagar +67 other locations,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal
HomeLane,3.3,904,Architecture & Interior Design,Bengaluru +36 other locations,"Job Security, Promotions / Appraisal, Work Life Balance",
Neel Metal Products,4.0,903,Auto Components,Gurugram +38 other locations,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
SKH Metals,4.0,903,Auto Components,Gurugram +26 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",
Egis India Consulting Engineers,4.2,903,Engineering & Construction,Gurugram +111 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
Steag Energy Services,4.3,902,Power,Jharsuguda +62 other locations,"Job Security, Work Life Balance, Company Culture",
Schlumberger,3.8,902,Oil & Gas,Pune +37 other locations,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security, Work Satisfaction"
Aviva Life Insurance India,3.5,902,Insurance,Gurugram +121 other locations,"Job Security, Promotions / Appraisal, Work Satisfaction",
Medhaj Techno Concept,3.9,901,Management Consulting,Lucknow +152 other locations,"Work Life Balance, Company Culture, Work Satisfaction","Promotions / Appraisal, Job Security"
OCS Group,4.1,899,Facility Management Services,Mumbai +57 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
Yashoda Hospitals,3.9,899,Healthcare,Hyderabad +30 other locations,"Promotions / Appraisal, Salary & Benefits",
Target,4.0,897,Retail,Bengaluru +17 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
LanceSoft,3.2,896,Recruitment,Hyderabad +29 other locations,"Promotions / Appraisal, Job Security, Company Culture",
Volkswagen,4.2,895,Automobile,Pune +103 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
Bosch Chassis Systems,4.1,895,Auto Components,Pune +24 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
HT Media,3.1,894,Media & Entertainment,New Delhi +43 other locations,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
Re Sustainability Limited,3.8,893,Waste Management,Hyderabad +84 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
Intellipaat Software Solutions,3.9,893,EdTech,Bengaluru +17 other locations,"Skill Development / Learning, Salary & Benefits, Company Culture",
AJIO,3.6,892,Internet,Bengaluru +199 other locations,"Promotions / Appraisal, Company Culture, Work Satisfaction",
Michelin,3.7,892,Auto Components,Pune +47 other locations,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Ashirvad Pipes,3.8,892,Building Material,Bengaluru +107 other locations,Salary & Benefits,Promotions / Appraisal
Alok Industries,3.5,891,Fashion & Textile,Dadra & Nagar Haveli +34 other locations,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Vedanta Resources,3.7,890,Metals & Mining,Jharsuguda +73 other locations,"Salary & Benefits, Job Security","Company Culture, Promotions / Appraisal, Work Life Balance"
JSW Paints,3.8,888,Chemicals,Mumbai +167 other locations,Promotions / Appraisal,
Orient Electric,3.7,886,Consumer Electronics & Appliances,New Delhi +87 other locations,"Promotions / Appraisal, Job Security",
BGR Energy Systems,3.9,886,Engineering & Construction,Chennai +53 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Vijay Sales,4.1,886,Retail,Mumbai +51 other locations,"Job Security, Salary & Benefits, Company Culture",
"Commonwealth Bank of Australia, India",2.8,885,Financial Services,Bengaluru +14 other locations,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Job Security"
Musashi Auto Parts,3.8,887,Auto Components,Rewari +26 other locations,Promotions / Appraisal,
Regulated Council of Immigration Consultants,4.9,884,Other,Dubai +5 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Updater Services,3.7,885,Facility Management Services,Chennai +101 other locations,"Promotions / Appraisal, Job Security, Company Culture",
TNQ Tech Private Limited,3.5,881,Printing & Publishing,Chennai +13 other locations,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
Marks & Spencer,3.9,880,Retail,New Delhi +60 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
FastInfo,4.1,879,Internet,Kolkata +8 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Tata Chemicals,3.9,878,Chemicals,Jamnagar +85 other locations,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Greenlam Industries,4.1,875,Furniture & Furnishing,New Delhi +115 other locations,"Work Life Balance, Job Security, Salary & Benefits",
Sona Comstar,4.0,875,Auto Components,Gurugram +24 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
RAMTeCH Software Solutions,3.6,875,IT Services & Consulting,Hyderabad +35 other locations,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits"
ACL Digital,3.6,875,IT Services & Consulting,Bengaluru +27 other locations,"Promotions / Appraisal, Job Security, Skill Development / Learning",
MAS Financial Services,3.7,872,NBFC,Ahmedabad +142 other locations,"Promotions / Appraisal, Work Satisfaction",
Wakefit,4.0,872,Furniture & Furnishing,Bengaluru +58 other locations,"Salary & Benefits, Work Life Balance, Skill Development / Learning",
Carborundum Universal Limited,3.7,871,Industrial Machinery,Chennai +130 other locations,"Promotions / Appraisal, Work Satisfaction",
C.R.I. Pumps,3.9,869,Industrial Machinery,Coimbatore +70 other locations,Promotions / Appraisal,
Centum Electronics,3.5,870,Electronics Manufacturing,Bengaluru +18 other locations,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Next Education India,3.2,867,EdTech,Hyderabad +94 other locations,"Promotions / Appraisal, Job Security, Company Culture",
M3M India,4.0,867,Real Estate,Gurugram +10 other locations,"Salary & Benefits, Work Life Balance, Company Culture",
Acme Cleantech Solutions,4.0,866,Power,Gurugram +100 other locations,"Salary & Benefits, Work Life Balance, Work Satisfaction",
Tata Starbucks,4.1,865,Hospitality,Mumbai +58 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
National Health Mission,3.4,863,Healthcare,Guwahati +282 other locations,"Promotions / Appraisal, Salary & Benefits, Job Security",
Magna International,3.8,863,Auto Components,Pune +22 other locations,Work Life Balance,Promotions / Appraisal
