name,ratings,reviews,companytype,locations,Highly_Rated_For,Critically_Rated_For
IQVIA,3.7,5.2k,Clinical Research,Bengaluru +66 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
Nagarjuna Construction Company,4.0,5.1k,Engineering & Construction,Hyderabad +299 other locations,"Job Security, Company Culture, Work Life Balance",
JustDial,3.5,5.1k,Internet,Noida +232 other locations,"Promotions / Appraisal, Work Satisfaction, Job Security",
Schneider Electric,4.1,5.1k,Industrial Automation,Bengaluru +119 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
SBI Life Insurance Company,3.7,5.1k,Insurance,Mumbai +658 other locations,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
CBRE,4.1,5.1k,Real Estate,Hyderabad +92 other locations,"Company Culture, Work Life Balance, Job Security",
TVS Motor,3.9,5k,Automobile,Hosur +352 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Persistent Systems,3.6,5k,IT Services & Consulting,Pune +41 other locations,"Promotions / Appraisal, Job Security, Work Satisfaction",
State Bank of India,3.8,4.9k,Banking,Mumbai +622 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
Atos,3.8,4.9k,IT Services & Consulting,Pune +49 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
vivo,4.1,4.9k,Consumer Electronics & Appliances,Noida +415 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
KEC International,4.0,4.9k,Engineering & Construction,Mumbai +313 other locations,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
Ecom Express,4.0,4.8k,Logistics,Gurugram +778 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
Amdocs,3.6,4.8k,Software Product,Pune +24 other locations,"Promotions / Appraisal, Job Security, Work Satisfaction",
ITC Infotech,3.8,4.8k,IT Services & Consulting,Bengaluru +68 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
JBM Group,3.9,4.8k,Auto Components,Gurugram +118 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Varun Beverages,4.0,4.8k,Beverage,New Delhi +383 other locations,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Eviden,3.6,4.8k,IT Services & Consulting,Pune +39 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Nagarro,3.9,4.7k,IT Services & Consulting,Gurugram +49 other locations,"Company Culture, Work Life Balance",Promotions / Appraisal
Bosch,4.1,4.6k,Auto Components,Bengaluru +132 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Utkarsh Small Finance Bank,3.6,4.6k,Banking,Varanasi +410 other locations,"Promotions / Appraisal, Company Culture, Work Satisfaction",
Randstad,3.7,4.6k,Recruitment,Hyderabad +360 other locations,"Promotions / Appraisal, Job Security, Work Satisfaction",
EY Global Delivery Services ( EY GDS),3.5,4.6k,IT Services & Consulting,Bengaluru +56 other locations,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
Hewlett Packard Enterprise,4.0,4.6k,IT Services & Consulting,Bengaluru +104 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Aditya Birla Fashion and Retail,4.0,4.6k,Fashion & Textile,Bengaluru +293 other locations,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Cars24,3.5,4.6k,Internet,Gurugram +171 other locations,"Job Security, Promotions / Appraisal, Company Culture",
Home Credit Finance,4.0,4.6k,NBFC,Gurugram +139 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",
L&T Finance,3.9,4.6k,NBFC,Mumbai +642 other locations,"Salary & Benefits, Job Security",Promotions / Appraisal
Mahindra Logistics,3.7,4.5k,Logistics,Mumbai +234 other locations,"Promotions / Appraisal, Salary & Benefits",
Havells,3.9,4.5k,Electrical Equipment,Noida +263 other locations,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
Dell,3.8,4.5k,Consumer Electronics & Appliances,Bengaluru +118 other locations,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security"
Intas Pharmaceuticals,4.1,4.5k,Pharma,Ahmedabad +150 other locations,"Job Security, Salary & Benefits, Work Life Balance",
R1 RCM,3.8,4.5k,BPO,New Delhi +46 other locations,Job Security,Promotions / Appraisal
OPPO,3.9,4.5k,Consumer Electronics & Appliances,Greater Noida +412 other locations,Skill Development / Learning,"Promotions / Appraisal, Job Security"
Tata AIA Life Insurance,3.9,4.4k,Insurance,Mumbai +448 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
Hetero,3.9,4.4k,Pharma,Hyderabad +70 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
Deutsche Bank,3.8,4.4k,Banking,Pune +42 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Hyundai Motor India Limited,4.1,4.4k,Automobile,Chennai +287 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
Motilal Oswal Financial Services,3.7,4.4k,Financial Services,Mumbai +170 other locations,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Berger Paints,3.7,4.4k,Chemicals,Kolkata +361 other locations,"Promotions / Appraisal, Company Culture, Work Life Balance",
TeamLease Services,3.9,4.3k,Recruitment,Bengaluru +401 other locations,Work Life Balance,Promotions / Appraisal
Lenskart,3.3,4.3k,Internet,New Delhi +244 other locations,"Promotions / Appraisal, Company Culture, Work Life Balance",
VE Commercial Vehicles,3.9,4.3k,Automobile,Indore +181 other locations,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Thermax Limited,4.2,4.2k,Industrial Machinery,Pune +255 other locations,"Job Security, Company Culture, Work Life Balance",
Macleods Pharmaceuticals,3.7,4.2k,Pharma,Mumbai +135 other locations,Job Security,"Promotions / Appraisal, Company Culture"
Bajaj Auto,3.8,4.2k,Automobile,Pune +321 other locations,Promotions / Appraisal,
Jubilant Foods Works,3.7,4.2k,Hospitality,Noida +263 other locations,Promotions / Appraisal,
Aakash Educational Services,3.2,4.2k,Education & Training,New Delhi +249 other locations,"Promotions / Appraisal, Work Life Balance, Job Security",
Kogta Financial India Limited,4.7,4.1k,NBFC,Jaipur +261 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
LG Electronics,3.9,4.1k,Consumer Electronics & Appliances,Pune +300 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Hindalco Industries,4.2,4.1k,Metals & Mining,Sambalpur +129 other locations,"Job Security, Work Life Balance, Skill Development / Learning",
Jindal Steel Limited,3.9,4.1k,Iron & Steel,Angul +175 other locations,Skill Development / Learning,Promotions / Appraisal
State Street Corporation,3.5,4.1k,Financial Services,Bengaluru +35 other locations,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Royal Enfield,4.2,4.1k,Automobile,Chennai +377 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
DCB Bank,3.8,4k,Banking,Mumbai +346 other locations,Work Life Balance,Promotions / Appraisal
HDFC Ergo General Insurance,4.0,4k,Insurance,Mumbai +328 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Tata Communications,3.9,4k,Telecom,Pune +102 other locations,"Company Culture, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
John Deere,4.0,4k,Industrial Machinery,Pune +154 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
RBL Bank,3.5,4k,Banking,Mumbai +289 other locations,"Promotions / Appraisal, Company Culture, Work Satisfaction",
Cummins,4.3,3.9k,Industrial Machinery,Pune +116 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Publicis Sapient,3.3,3.9k,IT Services & Consulting,Bengaluru +46 other locations,"Promotions / Appraisal, Job Security, Work Satisfaction",
Bank of America,4.1,3.9k,Banking,Gurugram +35 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Alembic Pharmaceuticals,3.9,3.9k,Pharma,Vadodara +188 other locations,"Salary & Benefits, Work Life Balance",
Pidilite Industries,4.2,3.9k,Chemicals,Mumbai +320 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Oyo Rooms,3.0,3.9k,Internet,Gurugram +121 other locations,"Job Security, Work Satisfaction, Promotions / Appraisal",
American Express,4.1,3.8k,Financial Services,Gurugram +55 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Subros,3.8,3.8k,Auto Components,Noida +90 other locations,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
